iter	RMSE
0	5853.449696
1	5332.513131
2	4852.174341
3	4425.201449
4	4040.784187
5	3693.949425
6	3382.568859
7	3103.120462
8	2851.622909
9	2627.548249
10	2430.575704
11	2248.711195
12	2089.190328
13	1947.430024
14	1819.354564
15	1703.070757
16	1601.812475
17	1511.112935
18	1433.087457
19	1363.448522
20	1301.854572
21	1247.682078
22	1198.50413
23	1157.145584
24	1121.415817
25	1087.284462
26	1056.440486
27	1030.090961
28	1005.803659
29	982.1074904
30	961.2489624
31	940.7045905
32	924.5446601
33	911.8805215
34	897.5034662
35	887.3739733
36	876.3226081
37	864.144468
38	855.6730334
39	846.2554261
40	838.2005875
41	831.0472348
42	818.6537291
43	810.2707567
44	804.5946477
45	797.2524153
46	789.2850674
47	785.0100423
48	780.3885617
49	776.8232696
50	770.7893978
51	764.2579736
52	761.5531014
53	752.6274597
54	748.5877691
55	744.4772687
56	740.8147502
57	735.4686698
58	732.5726446
59	730.4693368
60	728.8011026
61	723.5048727
62	720.1860826
63	715.2048225
64	713.6137109
65	710.0972563
66	708.4161531
67	705.1196925
68	701.33191
69	697.916054
70	693.0396906
71	689.8381006
72	688.3767978
73	685.9124608
74	680.5029486
75	677.6536123
76	673.2416158
77	671.8574117
78	667.9028683
79	665.7471688
80	663.4794188
81	661.3162609
82	657.6685282
83	654.6033296
84	652.3393471
85	650.5088061
86	647.3522033
87	644.8537178
88	643.9837237
89	641.8633701
90	640.013964
91	637.9531725
92	635.9187302
93	634.5388224
94	633.0698789
95	630.4293431
96	628.069906
97	626.0901238
98	624.0328406
99	621.9667522
100	620.0503832
101	618.5413728
102	616.2646485
103	615.3399254
104	613.8080917
105	611.8913814
106	609.9103088
107	609.081179
108	608.3742307
109	607.2627332
110	605.3809487
111	602.7896946
112	602.1372434
113	600.5141919
114	598.1661161
115	596.7092958
116	595.8091237
117	594.3690212
118	592.8597995
119	591.7184096
120	590.7384169
121	588.3925054
122	586.9274594
123	586.3275983
124	585.3315562
125	584.0542578
126	581.9886209
127	580.224923
128	578.9259772
129	577.8110809
130	576.471264
131	575.2258999
132	574.1780229
133	573.3174273
134	572.6696571
135	571.1237806
136	570.5579512
137	569.8395989
138	568.7969647
139	568.247626
140	567.3667465
141	565.6899961
142	564.3177805
143	563.1825328
144	562.6564743
145	561.6244747
146	561.0182429
147	559.8863762
148	558.8686428
149	558.3501629
150	557.3956894
151	556.8715047
152	556.4221194
153	555.4954058
154	554.9651158
155	553.5960908
156	552.7502483
157	552.3518174
158	551.3681543
159	550.5547829
160	549.9941764
161	549.3622775
162	547.8646999
163	547.5279995
164	546.6781548
165	545.3096234
166	544.923528
167	544.3945656
168	543.5981718
169	542.7619137
170	542.1209719
171	541.2370944
172	540.5903965
173	539.8557034
174	539.180451
175	538.2544804
176	537.6367969
177	536.8650785
178	536.3114519
179	535.6910068
180	534.8893543
181	534.3534666
182	533.8029634
183	533.1066851
184	532.6749375
185	532.1009244
186	531.6802142
187	531.0019032
188	530.6406705
189	529.734671
190	529.4092394
191	528.6322489
192	528.1336957
193	527.8560773
194	527.2685743
195	526.7919486
196	526.214637
197	525.5614892
198	525.0110637
199	524.0534003
