iter	Passed	Remaining
0	144	28665
1	158	15700
2	167	11004
3	176	8629
4	184	7203
5	193	6253
6	202	5581
7	210	5062
8	219	4660
9	227	4328
10	237	4074
11	246	3856
12	255	3679
13	265	3528
14	274	3387
15	283	3256
16	291	3140
17	300	3043
18	310	2960
19	319	2875
20	329	2805
21	338	2737
22	347	2672
23	356	2617
24	366	2563
25	376	2518
26	386	2473
27	395	2428
28	404	2384
29	413	2345
30	423	2308
31	433	2274
32	443	2244
33	453	2212
34	463	2183
35	473	2156
36	482	2126
37	492	2098
38	501	2072
39	512	2048
40	520	2020
41	530	1996
42	540	1974
43	550	1950
44	559	1927
45	568	1903
46	578	1882
47	587	1860
48	598	1843
49	607	1822
50	617	1802
51	626	1784
52	636	1766
53	646	1748
54	655	1728
55	664	1709
56	673	1690
57	684	1676
58	694	1658
59	702	1640
60	711	1622
61	721	1606
62	731	1591
63	741	1576
64	749	1557
65	758	1540
66	768	1526
67	778	1511
68	788	1496
69	798	1482
70	807	1467
71	816	1451
72	825	1436
73	835	1422
74	845	1409
75	855	1396
76	866	1383
77	875	1369
78	885	1355
79	895	1342
80	906	1331
81	915	1318
82	926	1305
83	936	1293
84	945	1279
85	955	1266
86	965	1254
87	976	1242
88	984	1228
89	994	1215
90	1004	1203
91	1014	1190
92	1023	1177
93	1032	1164
94	1042	1152
95	1053	1140
96	1064	1129
97	1074	1118
98	1085	1107
99	1096	1096
100	1107	1085
101	1117	1073
102	1127	1061
103	1137	1050
104	1148	1038
105	1158	1027
106	1169	1016
107	1179	1004
108	1190	993
109	1200	982
110	1210	970
111	1221	959
112	1230	947
113	1240	936
114	1251	925
115	1262	914
116	1272	902
117	1281	890
118	1292	879
119	1301	867
120	1310	855
121	1320	844
122	1331	833
123	1340	821
124	1350	810
125	1360	798
126	1370	787
127	1380	776
128	1389	764
129	1399	753
130	1409	742
131	1419	731
132	1428	719
133	1438	708
134	1447	696
135	1457	685
136	1467	674
137	1477	663
138	1486	652
139	1495	641
140	1504	629
141	1513	618
142	1522	606
143	1532	595
144	1540	584
145	1550	573
146	1559	562
147	1569	551
148	1579	540
149	1589	529
150	1599	518
151	1608	507
152	1618	497
153	1627	486
154	1637	475
155	1646	464
156	1655	453
157	1664	442
158	1674	431
159	1684	421
160	1694	410
161	1704	399
162	1713	389
163	1723	378
164	1733	367
165	1743	357
166	1752	346
167	1761	335
168	1772	325
169	1782	314
170	1791	303
171	1801	293
172	1811	282
173	1820	272
174	1830	261
175	1839	250
176	1848	240
177	1858	229
178	1867	219
179	1877	208
180	1888	198
181	1899	187
182	1910	177
183	1920	167
184	1930	156
185	1940	146
186	1949	135
187	1959	125
188	1967	114
189	1978	104
190	1988	93
191	1998	83
192	2008	72
193	2017	62
194	2027	51
195	2037	41
196	2046	31
197	2057	20
198	2066	10
199	2076	0
